Fecha;Hora;Pmedia;Energia
11/05/2014;01:00:00;240.455;2.004
11/05/2014;01:00:30;236.534;1.971
11/05/2014;01:01:00;218.892;1.824
11/05/2014;01:01:30;218.892;1.824
11/05/2014;01:02:00;218.892;1.824
11/05/2014;01:02:30;218.892;1.824
11/05/2014;01:03:00;218.892;1.824
11/05/2014;01:03:30;218.892;1.824
11/05/2014;01:04:00;218.239;1.819
11/05/2014;01:04:30;203.864;1.699
11/05/2014;01:05:00;152.898;1.274
11/05/2014;01:05:30;162.045;1.350
11/05/2014;01:06:00;131.989;1.100
11/05/2014;01:06:30;126.108;1.051
11/05/2014;01:07:00;127.415;1.062
11/05/2014;01:07:30;122.841;1.024
11/05/2014;01:08:00;92.131;0.768
11/05/2014;01:08:30;92.131;0.768
11/05/2014;01:09:00;92.131;0.768
11/05/2014;01:09:30;91.477;0.762
11/05/2014;01:10:00;91.477;0.762
11/05/2014;01:10:30;90.824;0.757
11/05/2014;01:11:00;90.824;0.757
11/05/2014;01:11:30;90.824;0.757
11/05/2014;01:12:00;90.824;0.757
11/05/2014;01:12:30;90.824;0.757
11/05/2014;01:13:00;90.170;0.751
11/05/2014;01:13:30;90.170;0.751
11/05/2014;01:14:00;75.142;0.626
11/05/2014;01:14:30;62.074;0.517
11/05/2014;01:15:00;62.074;0.517
11/05/2014;01:15:30;62.074;0.517
11/05/2014;01:16:00;62.074;0.517
11/05/2014;01:16:30;62.074;0.517
11/05/2014;01:17:00;62.074;0.517
11/05/2014;01:17:30;62.074;0.517
11/05/2014;01:18:00;62.074;0.517
11/05/2014;01:18:30;62.074;0.517
11/05/2014;01:19:00;62.074;0.517
11/05/2014;01:19:30;62.074;0.517
11/05/2014;01:20:00;62.074;0.517
11/05/2014;01:20:30;62.727;0.523
11/05/2014;01:21:00;62.727;0.523
11/05/2014;01:21:30;62.727;0.523
11/05/2014;01:22:00;62.074;0.517
11/05/2014;01:22:30;62.074;0.517
11/05/2014;01:23:00;62.074;0.517
11/05/2014;01:23:30;62.074;0.517
11/05/2014;01:24:00;62.074;0.517
11/05/2014;01:24:30;62.074;0.517
11/05/2014;01:25:00;62.074;0.517
11/05/2014;01:25:30;62.074;0.517
11/05/2014;01:26:00;62.074;0.517
11/05/2014;01:26:30;62.074;0.517
11/05/2014;01:27:00;62.074;0.517
11/05/2014;01:27:30;62.074;0.517
11/05/2014;01:28:00;62.074;0.517
11/05/2014;01:28:30;62.727;0.523
11/05/2014;01:29:00;62.727;0.523
11/05/2014;01:29:30;62.074;0.517
11/05/2014;01:30:00;62.074;0.517
11/05/2014;01:30:30;62.074;0.517
11/05/2014;01:31:00;62.074;0.517
11/05/2014;01:31:30;62.074;0.517
11/05/2014;01:32:00;61.420;0.512
11/05/2014;01:32:30;192.102;1.601
11/05/2014;01:33:00;158.125;1.318
11/05/2014;01:33:30;150.284;1.252
11/05/2014;01:34:00;147.017;1.225
11/05/2014;01:34:30;146.364;1.220
11/05/2014;01:35:00;147.670;1.231
11/05/2014;01:35:30;148.324;1.236
11/05/2014;01:36:00;148.324;1.236
11/05/2014;01:36:30;148.324;1.236
11/05/2014;01:37:00;118.920;0.991
11/05/2014;01:37:30;117.614;0.980
11/05/2014;01:38:00;118.267;0.986
11/05/2014;01:38:30;118.267;0.986
11/05/2014;01:39:00;118.267;0.986
11/05/2014;01:39:30;117.614;0.980
11/05/2014;01:40:00;117.614;0.980
11/05/2014;01:40:30;117.614;0.980
11/05/2014;01:41:00;116.960;0.975
11/05/2014;01:41:30;116.960;0.975
11/05/2014;01:42:00;116.960;0.975
11/05/2014;01:42:30;116.960;0.975
11/05/2014;01:43:00;116.960;0.975
11/05/2014;01:43:30;117.614;0.980
11/05/2014;01:44:00;117.614;0.980
11/05/2014;01:44:30;116.960;0.975
11/05/2014;01:45:00;116.960;0.975
11/05/2014;01:45:30;116.960;0.975
11/05/2014;01:46:00;116.307;0.969
11/05/2014;01:46:30;116.307;0.969
11/05/2014;01:47:00;116.307;0.969
11/05/2014;01:47:30;115.653;0.964
11/05/2014;01:48:00;115.653;0.964
11/05/2014;01:48:30;115.653;0.964
11/05/2014;01:49:00;116.307;0.969
11/05/2014;01:49:30;116.307;0.969
11/05/2014;01:50:00;85.597;0.713
11/05/2014;01:50:30;32.670;0.272
11/05/2014;01:51:00;32.670;0.272
11/05/2014;01:51:30;32.670;0.272
11/05/2014;01:52:00;32.670;0.272
11/05/2014;01:52:30;52.926;0.441
11/05/2014;01:53:00;54.886;0.457
11/05/2014;01:53:30;54.886;0.457
11/05/2014;01:54:00;52.926;0.441
11/05/2014;01:54:30;32.670;0.272
11/05/2014;01:55:00;32.670;0.272
11/05/2014;01:55:30;32.670;0.272
11/05/2014;01:56:00;32.670;0.272
11/05/2014;01:56:30;32.670;0.272
11/05/2014;01:57:00;32.670;0.272
11/05/2014;01:57:30;32.670;0.272
11/05/2014;01:58:00;32.670;0.272
11/05/2014;01:58:30;32.670;0.272
11/05/2014;01:59:00;32.670;0.272
11/05/2014;01:59:30;32.670;0.272
11/05/2014;02:00:00;32.670;0.272
11/05/2014;02:00:30;32.670;0.272
11/05/2014;02:01:00;32.670;0.272
11/05/2014;02:01:30;32.670;0.272
11/05/2014;02:02:00;32.017;0.267
11/05/2014;02:02:30;32.670;0.272
11/05/2014;02:03:00;32.670;0.272
11/05/2014;02:03:30;32.670;0.272
11/05/2014;02:04:00;32.670;0.272
11/05/2014;02:04:30;32.670;0.272
11/05/2014;02:05:00;32.670;0.272
11/05/2014;02:05:30;32.670;0.272
11/05/2014;02:06:00;32.670;0.272
11/05/2014;02:06:30;32.670;0.272
11/05/2014;02:07:00;32.670;0.272
11/05/2014;02:07:30;32.670;0.272
11/05/2014;02:08:00;32.670;0.272
11/05/2014;02:08:30;32.670;0.272
11/05/2014;02:09:00;32.670;0.272
11/05/2014;02:09:30;32.670;0.272
11/05/2014;02:10:00;32.670;0.272
11/05/2014;02:10:30;32.670;0.272
11/05/2014;02:11:00;32.017;0.267
11/05/2014;02:11:30;32.017;0.267
11/05/2014;02:12:00;32.017;0.267
11/05/2014;02:12:30;32.017;0.267
11/05/2014;02:13:00;32.017;0.267
11/05/2014;02:13:30;32.017;0.267
11/05/2014;02:14:00;32.017;0.267
11/05/2014;02:14:30;32.017;0.267
11/05/2014;02:15:00;32.017;0.267
11/05/2014;02:15:30;32.017;0.267
11/05/2014;02:16:00;32.017;0.267
11/05/2014;02:16:30;32.017;0.267
11/05/2014;02:17:00;31.364;0.261
11/05/2014;02:17:30;96.051;0.800
11/05/2014;02:18:00;130.028;1.084
11/05/2014;02:18:30;124.801;1.040
11/05/2014;02:19:00;118.920;0.991
11/05/2014;02:19:30;116.307;0.969
11/05/2014;02:20:00;116.960;0.975
11/05/2014;02:20:30;117.614;0.980
11/05/2014;02:21:00;117.614;0.980
11/05/2014;02:21:30;116.960;0.975
11/05/2014;02:22:00;116.960;0.975
11/05/2014;02:22:30;116.960;0.975
11/05/2014;02:23:00;116.307;0.969
11/05/2014;02:23:30;116.307;0.969
11/05/2014;02:24:00;116.307;0.969
11/05/2014;02:24:30;116.307;0.969
11/05/2014;02:25:00;116.307;0.969
11/05/2014;02:25:30;115.653;0.964
11/05/2014;02:26:00;116.307;0.969
11/05/2014;02:26:30;116.307;0.969
11/05/2014;02:27:00;115.653;0.964
11/05/2014;02:27:30;115.653;0.964
11/05/2014;02:28:00;115.653;0.964
11/05/2014;02:28:30;115.653;0.964
11/05/2014;02:29:00;115.653;0.964
11/05/2014;02:29:30;115.000;0.958
11/05/2014;02:30:00;115.000;0.958
11/05/2014;02:30:30;115.000;0.958
11/05/2014;02:31:00;115.000;0.958
11/05/2014;02:31:30;115.000;0.958
11/05/2014;02:32:00;114.347;0.953
11/05/2014;02:32:30;114.347;0.953
11/05/2014;02:33:00;114.347;0.953
11/05/2014;02:33:30;114.347;0.953
11/05/2014;02:34:00;114.347;0.953
11/05/2014;02:34:30;114.347;0.953
11/05/2014;02:35:00;114.347;0.953
11/05/2014;02:35:30;66.648;0.555
11/05/2014;02:36:00;30.710;0.256
11/05/2014;02:36:30;30.710;0.256
11/05/2014;02:37:00;30.710;0.256
11/05/2014;02:37:30;30.710;0.256
11/05/2014;02:38:00;30.057;0.250
11/05/2014;02:38:30;30.710;0.256
11/05/2014;02:39:00;30.710;0.256
11/05/2014;02:39:30;30.710;0.256
11/05/2014;02:40:00;30.710;0.256
11/05/2014;02:40:30;30.057;0.250
11/05/2014;02:41:00;30.710;0.256
11/05/2014;02:41:30;30.057;0.250
11/05/2014;02:42:00;30.710;0.256
11/05/2014;02:42:30;30.710;0.256
11/05/2014;02:43:00;30.710;0.256
11/05/2014;02:43:30;30.710;0.256
11/05/2014;02:44:00;30.057;0.250
11/05/2014;02:44:30;30.057;0.250
11/05/2014;02:45:00;30.057;0.250
11/05/2014;02:45:30;30.057;0.250
11/05/2014;02:46:00;30.057;0.250
11/05/2014;02:46:30;30.057;0.250
11/05/2014;02:47:00;30.057;0.250
11/05/2014;02:47:30;30.057;0.250
11/05/2014;02:48:00;30.057;0.250
11/05/2014;02:48:30;30.710;0.256
11/05/2014;02:49:00;30.057;0.250
11/05/2014;02:49:30;30.057;0.250
11/05/2014;02:50:00;30.057;0.250
11/05/2014;02:50:30;30.057;0.250
11/05/2014;02:51:00;30.057;0.250
11/05/2014;02:51:30;41.818;0.348
11/05/2014;02:52:00;60.767;0.506
11/05/2014;02:52:30;61.420;0.512
11/05/2014;02:53:00;61.420;0.512
11/05/2014;02:53:30;61.420;0.512
11/05/2014;02:54:00;61.420;0.512
11/05/2014;02:54:30;61.420;0.512
11/05/2014;02:55:00;61.420;0.512
11/05/2014;02:55:30;61.420;0.512
11/05/2014;02:56:00;61.420;0.512
11/05/2014;02:56:30;61.420;0.512
11/05/2014;02:57:00;61.420;0.512
